entry	name	armor	stam	spi	int	str	agi	ap	hit	crit	weapon_skill	defense	dodge	parry	block	block_value	ranged_ap	spdmg	sppen	sphit	spcrit	spheal	mp5	fire_res	nat_res	frost_res	avg_hit	dps	speed	bias
18817	Crown of Destruction	392	23	9	9	0	0	44	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	
16542	Warlord's Plate Headpiece	719	34	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20521	Fury Visor	445	0	0	0	18	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12587	Eye of Rend	143	7	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13359	Crown of Tyranny	301	20	0	0	0	0	40	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13404	Mask of the Unforgiven	132	12	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11735	Ragefury Eyepatch	132	9	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19984	Ebon Mask	122	11	0	0	0	0	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16707	Shadowcraft Cap	141	18	5	0	13	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18421	Backwood Helm	301	13	9	9	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9479	Embrace of the Lycan	118	16	5	0	8	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11925	Ghostshroud	132	18	0	0	12	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16731	Helm of Valor	526	23	8	0	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16963	Helm of Wrath	696	40	0	0	17	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	
14849	Sunscale Helmet	411	12	0	0	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12953	Dragoneye Coif	288	17	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11746	Golem Skull Helm	477	18	0	0	18	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12427	Imperial Plate Helm	456	17	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17767	Bloomsprout Headpiece	249	18	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	
14866	Warleader's Crown	478	16	5	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16727	Lightforge Helm	526	20	10	14	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16866	Helm of Might	608	35	0	0	15	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	
18698	Tattered Leather Hood	130	23	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18718	Grand Crusader's Helm	584	16	12	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22223	Foreman's Head Protector	469	14	0	11	15	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	
12620	Enchanted Thorium Helm	526	25	0	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18325	Felhide Cap	134	14	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	
16677	Beaststalker's Cap	297	20	6	10	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21317	Helm of the Pathfinder	117	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10372	Imbued Plate Helmet	456	17	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14858	Vanguard Headdress	448	21	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14539	Bone Ring Helm	141	30	6	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13073	Mugthol's Helm	445	17	17	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14676	Pridelord Halo	122	14	6	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8348	Helm of Fire	118	10	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	
15086	Wicked Leather Headband	118	16	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2245	Helm of Narv	309	32	18	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10741	Lordrec Helmet	113	10	3	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11729	Savage Gladiator Helm	275	28	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
