spell_id	stat	amount	name
7597	Crit	1	Increased Critical 1
7598	Crit	2	Increased Critical 2
7599	Crit	3	Increased Critical 3
7600	Crit	4	Increased Critical 4
9405	Crit	5	Increased Critical 5
15464	Hit	1	Increased Hit Chance 1
15465	Hit	2	Increased Hit Chance 2
15466	Hit	3	Increased Hit Chance 3
15467	Hit	4	Increased Hit Chance 4
15468	Hit	5	Increased Hit Chance 5
9136	AP	2	Attack Power 02
9137	AP	4	Attack Power 04
9138	AP	6	Attack Power 06
9139	AP	8	Attack Power 08
9140	AP	10	Attack Power 10
28735	AP	100	Attack Power 100
9141	AP	12	Attack Power 12
9142	AP	14	Attack Power 14
20732	AP	15	Attack Power 15
9329	AP	16	Attack Power 16
9330	AP	18	Attack Power 18
9331	AP	20	Attack Power 20
18060	AP	200	Attack Power 200
9332	AP	22	Attack Power 22
14027	AP	24	Attack Power 24
9334	AP	26	Attack Power 26
9335	AP	28	Attack Power 28
9336	AP	30	Attack Power 30
15807	AP	32	Attack Power 32
15806	AP	34	Attack Power 34
14089	AP	36	Attack Power 36
15808	AP	38	Attack Power 38
14049	AP	40	Attack Power 40
15809	AP	42	Attack Power 42
15810	AP	44	Attack Power 44
15811	AP	46	Attack Power 46
9333	AP	48	Attack Power 48
14056	AP	50	Attack Power 50
15812	AP	52	Attack Power 52
15813	AP	54	Attack Power 54
15814	AP	56	Attack Power 56
15815	AP	58	Attack Power 58
14052	AP	60	Attack Power 60
15816	AP	62	Attack Power 62
15817	AP	64	Attack Power 64
15818	AP	66	Attack Power 66
15819	AP	68	Attack Power 68
15820	AP	70	Attack Power 70
15821	AP	72	Attack Power 72
15823	AP	74	Attack Power 74
15824	AP	76	Attack Power 76
15825	AP	78	Attack Power 78
15826	AP	80	Attack Power 80
15827	AP	82	Attack Power 82
15828	AP	84	Attack Power 84
15829	AP	86	Attack Power 86
15830	AP	88	Attack Power 88
15831	AP	90	Attack Power 90
15832	AP	92	Attack Power 92
28840	AP	98	Attack Power 98
7511	Defense	1	Increased Defense
7513	Defense	1	Increased Defense
7514	Defense	2	Increased Defense
7515	Defense	3	Increased Defense
7516	Defense	3	Increased Defense
7517	Defense	4	Increased Defense
7518	Defense	5	Increased Defense
13383	Defense	5	Increased Defense
